"","INST","COUNTRY"
"21905","Wageningen University","USA"
"21911","Wake Forest University","USA"
"21917","Washington and Lee University","USA"
"21923","Washington Park Zoo","USA"
"21924","Washington State University","USA"
"21992","Washington State Univesrity","USA"
"21994","Washington State Unviersity","USA"
"22003","Washington University","USA"
"22017","Washington University in St Louis","USA"
"22040","Washington University School of Medicine","USA"
"22043","Wayne State University","USA"
"22051","Weber State U","USA"
"22054","Wesleyan University","USA"
"22059","West Virginia University","USA"
"22067","Western Cotton Research Lab","USA"
"22070","Western Fisheries Research Center","USA"
"22071","Western Michigan University","USA"
"22088","Western Washington University","USA"
"22091","Wichita State University","USA"
"22096","Wilderness Society","USA"
"22099","Wildlife Conservation Society","USA"
"22165","Wildlife Preservation Trust International","USA"
"22168","Willamette University","USA"
"22169","Williams College","USA"
"22175","Woods Hole Oceanographic Institution","USA"
"22215","World Resources Institute","USA"
"22220","World Wildlife Fund","USA"
"22238","WSP Environmental Strategies","USA"
"22240","Wyoming","USA"
"22243","Yale School of Forestry and Environmental Studies","USA"
"22247","Yale University","USA"
"22325","Zoological Society of San Diego","USA"
"22330",NA,"USA"
"24738","Centro de Ecologia","Venezuela"
"24748","Instituto Venezolano de Investigaciones Cientificas","Venezuela"
"24767","Instituto Venezolano Investigaciones Cientificas (IVIC)","Venezuela"
"24769","Venezuelan Institute for Scientific Investigation","Venezuela"
"24776",NA,"Venezuela"
"24786","Aberystwyth University","Wales"
"24799","Cardiff","Wales"
"24814","Biological Institute","Yugoslavia"
"24816","Mount Makulu Research Station","Zambia"
"24820","(Retired) Natural History Museum London",NA
"24821","Aarhus U",NA
"24822","Acadia U",NA
"24833","Alaska Science Center",NA
"24844","American Museum of Natural History",NA
"24846","Amherst College",NA
"24847","Arizona State U",NA
"24855","Auburn U",NA
"24862","Auburn University",NA
"24863","Austin Peay State U",NA
"24864","Australian Commonwealth Scientific and Research Organization",NA
"24869","Australian Museum",NA
"24870","Australian National Wildlife Collection",NA
"24874","Aves Argentinas",NA
"24876","Bates College",NA
"24883","Beloit College",NA
"24888","Bloomfield College",NA
"24891","Boise State U",NA
"24914","Bucknell U",NA
"24917","California Academy of Sciences",NA
"24926","California State University of San Marcos",NA
"24931","Canadian Wildlife Service",NA
"24938","Catholic University of of Chile",NA
"24942","Centre National de la Recherche Scientifique",NA
"24943","Citadel Military College of South Carolina",NA
"24948","City University of of New York",NA
"24949","College of New Jersey",NA
"24956","College of William and Mary",NA
"24964","Colorado State U",NA
"24968","Columbia U",NA
"24969","Commonwealth U",NA
"24971","Consejo Nacional de Investigaciones Cientificas y Tecnicas",NA
"24975","Cornell Lab of Ornithology",NA
"24977","Cornell U",NA
"24982","Cornell University",NA
"24983","Deakin University of Australia",NA
"24986","Delta Waterfowl Foundation",NA
"24988","Denver Museum of Nature e Science",NA
"24990","DiSTEBA Universita di Lecce",NA
"24991","Donana Biological Station CSIC",NA
"24994","Ducks Unlimited Canada",NA
"24995","Duke U",NA
"25004","Durham University",NA
"25012","Eastern Illinois U",NA
"25018","Environment Canada",NA
"25030","Environment Canada National Hydrology Research Center",NA
"25035","Environment Canada Wildlife Research Division",NA
"25039","Environment Canada Wildlife Research East",NA
"25040","Estacion Biologia Chamela",NA
"25046","Estern Illinois U",NA
"25047","Field Museum of Natural History",NA
"25050","Florida Institute of Technology",NA
"25059","Forschungsinstitut Senckenberg",NA
"25063","Free University of Berlin",NA
"25066","GEOMAR Helmholtz Center for Ocean Research Kiel",NA
"25070","Georgia Southern U",NA
"25072","Guangxi U",NA
"25073","Hamilton College",NA
"25076","Harvard U",NA
"25080","Harvard University",NA
"25081","Hasting Reservation",NA
"25082","Hawk Mountain Sanctuary",NA
"25085","Hobart and William Smith College",NA
"25090","Hofstra U",NA
"25093","Humbolt State U",NA
"25094","Hunter College CUNY",NA
"25096","IBIGEO CONICET",NA
"25099","Illinois Natural History Survey",NA
"25105","Indiana State U",NA
"25111","Institut fur OstseeforschungWarnemunde",NA
"25112","Instituto de Biologia UNAM",NA
"25116","Interuniversity Institute for Marine Sciences",NA
"25117","Iowa State U",NA
"25129","James San Jacinto Mountains Reserve",NA
"25134","Kansas State U",NA
"25138","Kruger National Park",NA
"25139","Los Alamos National Laboratory",NA
"25141","Louisiana State U",NA
"25170","Louisiana State University of and University of Federal du Roraima",NA
"25172","LSA Associates",NA
"25177","Lundy Environmental Consulting",NA
"25180","Massey U",NA
"25185","Max Planck Institute for Ornithology",NA
"25189","McKendree U",NA
"25195","Michigan State U",NA
"25216","Minnesota Pollution Control Agency",NA
"25220","missing",NA
"25428","Missouri Department of Conservation",NA
"25429","Museum of New Zealand Te Papa Tongarewa",NA
"25430","National Audubon Society",NA
"25431","National Aviary",NA
"25441","National History Museum Paris",NA
"25448","National Park Service Inventory e Monitoring Program",NA
"25451","National University of of Singapore",NA
"25456","Natural History Museum",NA
"25457","Natural History Museum UK",NA
"25465","Natural Resources Institute University of of Manitoba",NA
"25467","New Mexico State U",NA
"25470","North Central Research Station",NA
"25473","North Dakota State U",NA
"25477","Northern Praire Wildlife Research Center",NA
"25480","northern Prairie Wildlife Research Center",NA
"25481","Northern Prairie Wildlife Research Center",NA
"25507","Ohio Northern U",NA
"25515","Ohio State U",NA
"25529","Ohio Wesleyan U",NA
"25534","Oklahoma State U",NA
"25543","Old Dominion U",NA
"25550","Ontario Ministry of Natural Resources",NA
"25559","Open University",NA
"25560","Oregon State U",NA
"25564","Pacific Rim Conservation",NA
"25565","Palacky U",NA
"25570","Penn State U",NA
"25574","Percy Fitzpatrick Institute",NA
"25576","Point Blue Conservation",NA
"25578","Portland State U",NA
"25585","Prairie Wildlife Research Center",NA
"25586","Queens College City University of of New York",NA
"25591","Queens U",NA
"25592","Queens University of Belfast",NA
"25593","Rangeland Ecosystem Science Center",NA
"25598","Rochester Institute of Technology",NA
"25603","Rocky Mountain Research Station",NA
"25608","Roosevelt University of Field Museum",NA
"25611","Royal Ontario Museum",NA
"25614","School of Renewable Resources Louisiana State U",NA
"25618","Senckenberg Research Institute Frankfurt",NA
"25623","Simon Fraser U",NA
"25627","Smithsonian Institution",NA
"25637","Smithsonian Migratory Bird Center",NA
"25640","Smithsonian National Museum of Natural History",NA
"25641","Smithsonian Tropical Research Institute",NA
"25645","Snake River Field Station",NA
"25650","Southeastern Louisiana",NA
"25651","Southern Illinois U",NA
"25657","Stazione Zoologica Anton Dohrn",NA
"25659","Stony Brook U",NA
"25661","Tabor College",NA
"25662","Tall Timbers Research Station",NA
"25666","Tetra Tech EBA",NA
"25668","Tetra Tech EC Inc",NA
"25676","Tetratech Environmental Consulting Inc",NA
"25681","Texas Christian U",NA
"25684","Texas Tech U",NA
"25694","Texas Tech University",NA
"25701","Tokaigakuen University",NA
"25702","Trent U",NA
"25712","Trinity U",NA
"25719","Tulane U",NA
"25722","u de Buenos Aires",NA
"25724","United State Fish and Wildlife Service",NA
"25729","Universita  di Genova",NA
"25730","Universita del Salento",NA
"25731","Universite Pierre et Marie Curie",NA
"25732","University of Autonoma del Estado de HIdalgo",NA
"25737","University of Autonoma del Estado Hidalgo",NA
"25739","University of Bonn",NA
"25746","University of California",NA
"25747","University of Cambridge",NA
"25751","University of Copenhagen",NA
"25752","University of de Antioquia",NA
"25757","University of de Buenos Aires",NA
"25761","University of de los Andes",NA
"25771","University of de Vila Velha",NA
"25773","University of Hawaii Manoa",NA
"25774","University of Illinois Urbana Champaign",NA
"25775","University of London",NA
"25776","University of Melbourne",NA
"25777","University of Missouri-St. Louis",NA
"25781","University of Montana",NA
"25782","University of Nacional Autonoma de Mexico",NA
"25787","University of Nacional de Misiones CONICET",NA
"25790","University of New Brunswick",NA
"25791","University of of Adelaide",NA
"25795","University of of Alaska",NA
"25800","University of of ALaska",NA
"25801","University of of Alaska Fairbanks",NA
"25804","University of of Alaska Museum",NA
"25809","University of of Alberta",NA
"25811","University of of Arizona",NA
"25814","University of of Auckland",NA
"25817","University of of British Columbia",NA
"25822","University of of California",NA
"25829","University of of California Berkeley",NA
"25832","University of of California Davis",NA
"25843","University of of California Riverside",NA
"25848","University of of California San Diego",NA
"25850","University of of California Santa Cruz",NA
"25853","University of of Canterbury",NA
"25857","University of of Central ArKansas",NA
"25858","University of of Chicago",NA
"25861","University of of Colorado Boulder",NA
"25866","University of of Colorado Denver",NA
"25869","University of of Connecticut",NA
"25872","University of of Dayton",NA
"25876","University of of Delaware",NA
"25881","University of of Exeter",NA
"25885","University of of Georgia",NA
"25889","University of of Illinois",NA
"25891","University of of Illinois Urbana Champaign",NA
"25895","University of of Kansas",NA
"25903","University of of Maine",NA
"25910","University of of Manitoba",NA
"25913","University of of Maryland",NA
"25918","University of of Maryland Baltimore County",NA
"25920","University of of Massachusetts",NA
"25926","University of of Massachusetts Amherst",NA
"25931","University of of Michigan Dearborn",NA
"25936","University of of Minnesota",NA
"25947","University of of Mississippi",NA
"25957","University of of Montana",NA
"25969","University of of Nebraska Omaha",NA
"25973","University of of nevada",NA
"25975","University of of Nevada",NA
"25980","University of of Nevada Reno",NA
"25983","University of of Northern British Columbia",NA
"25986","University of of Northern Colorado",NA
"25991","University of of Oklahoma",NA
"26000","University of of Queensland",NA
"26004","University of of Rhode Island",NA
"26007","University of of Saskatchewan",NA
"26012","University of of South Dakota",NA
"26022","University of of Southern Mississippi",NA
"26029","University of of Tennessee",NA
"26030","University of of Victoria",NA
"26037","University of of Washington",NA
"26044","University of of Windsor",NA
"26047","University of of Wisconsin",NA
"26050","University of of Wisconsin Milwaukee",NA
"26051","University of of Wisconsin Parkside",NA
"26056","University of of Wyoming",NA
"26065","University of Pierre et Marie Curie",NA
"26066","University of Pretoria",NA
"26076","University of Saint Andrews",NA
"26077","University of Simon Bolivar",NA
"26082","University of Tel Aviv",NA
"26085","University of Virginia",NA
"26086","University of Wurzburg",NA
"26092","Uppsala U",NA
"26094","Uppsala University",NA
"26096","US Forest Service",NA
"26098","US Geological Survey",NA
"26104","US Geological Survey Alaska Science Center",NA
"26113","US Geological Survey Biological Resources Division",NA
"26117","US Geological Survey Fort Collins Science Center",NA
"26122","US Geological Survey Northern Prairie Wildlife Research Center",NA
"26127","US Geological Survey Patuxent Wildlife Research Center",NA
"26134","US Geological Survey Wisconsin Cooperative Wildlife Research Unit",NA
"26136","USDA APHIS",NA
"26140","USFS Rocky Mountain Research Station",NA
"26143","USFWS Alaska Region",NA
"26148","USFWS Idaho Fish and Wildlife Office",NA
"26149","Utah State U",NA
"26154","Vassar College",NA
"26158","Villanova U",NA
"26164","Virginia Polytechnic Institute and State University",NA
"26169","Virginia Polytechnic Institute and State University U",NA
"26171","Virginia Polytechnic Institute State U",NA
"26172","Washington State U",NA
"26174","Washington State University",NA
"26175","Western Foundation of Vertebrate Zoology",NA
"26180","Western Michigan U",NA
"26187","Western University of Canada",NA
"26191","Wichita State U",NA
"26195","York University",NA
"26196","Zoological Society of London",NA
"26208",NA,NA
